CalYear,HourOfCall,Easting_rounded,Northing_rounded,FirstPumpArriving_AttendanceTime,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls,TurnoutTimeSeconds,TravelTimeSeconds,AttendanceTimeSeconds
1,3,531250,181450,353.0,2.0,2.0,2,60,255,1.0,172.0,181.0,353
1,3,526850,176750,237.0,2.0,2.0,2,60,255,1.0,210.0,27.0,237
1,3,532950,186150,300.0,1.0,2.0,2,60,255,1.0,134.0,166.0,300
1,3,535050,184150,360.0,1.0,2.0,2,60,255,1.0,185.0,175.0,360
1,3,520450,175650,651.0,2.0,2.0,2,75,319,1.0,172.0,479.0,651
1,3,517450,169350,355.0,2.0,3.0,3,60,255,1.0,111.47549414629444,243.52450585370661,355
1,3,534050,198050,486.0,1.0,1.0,1,60,255,1.0,361.0,125.0,486
1,3,534250,168250,1130.0,2.0,2.0,2,60,255,1.0,244.0,886.0,1130
1,4,530350,185050,456.0,1.0,1.0,1,60,255,1.0,138.0,318.0,456
1,4,515750,172950,473.0,1.0,1.0,1,60,255,1.0,103.0,370.0,473
1,4,533450,189050,407.0,1.0,2.0,2,60,255,1.0,305.0,102.0,407
1,4,525950,182350,249.0,1.0,2.0,2,60,255,1.0,122.0,127.0,249
1,4,524350,178250,323.0,1.0,1.0,1,60,255,1.0,186.0,137.0,323
1,4,544950,182950,269.0,2.0,3.0,3,320,1360,1.0,198.0,71.0,269
1,4,545750,183250,377.0,1.0,1.0,1,81,344,1.0,123.0,254.0,377
1,4,528050,181050,361.0,1.0,1.0,1,60,255,1.0,197.0,164.0,361
1,4,529650,185950,249.0,2.0,3.0,3,60,255,1.0,122.0,127.0,249
1,4,537950,162850,189.0,1.0,1.0,1,60,255,1.0,111.0,78.0,189
1,4,527350,185850,936.0,1.0,1.0,1,60,255,1.0,247.0,689.0,936
1,4,536750,198250,406.0,1.0,2.0,7,1415,6014,4.0,145.0,261.0,406
1,4,541450,177750,307.0,2.0,2.0,2,60,255,1.0,154.0,153.0,307
1,5,549450,178250,183.0,1.0,2.0,2,85,361,1.0,110.0,73.0,183
1,5,531650,179450,218.0,2.0,2.0,2,60,255,1.0,156.0,62.0,218
1,5,541250,183750,280.0,1.0,2.0,2,60,255,1.0,137.0,143.0,280
1,5,535850,174850,612.0,1.0,1.0,1,60,255,1.0,107.0,505.0,612
1,5,530350,173750,360.0,1.0,1.0,1,60,255,1.0,169.0,191.0,360
1,5,553750,192550,457.0,1.0,2.0,2,73,310,1.0,356.0,101.0,457
1,5,538050,162550,226.0,1.0,1.0,1,60,255,1.0,135.0,91.0,226
1,5,517450,169350,339.0,2.0,3.0,3,60,255,1.0,95.52358743730798,243.47641256270373,339
1,5,509650,191350,421.0,2.0,2.0,2,60,255,1.0,120.0,301.0,421
